Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
CIESPP;Relações Europa-África;02077TP01;CI-ESPP-2;33;VERDADEIRO;FALSO;Ter;18:00:00;20:00:00;29/11/2022;Sala de Aulas normal;Auditório 4;250;Sala/anfiteatro aulas, Horário sala visível portal público
LSS-PL;Métodos e Técnicas de Investigação em Ciências Sociais;01191TP04;SS-PL-B2;20;FALSO;FALSO;Seg;18:00:00;19:30:00;28/11/2022;Sala/anfiteatro aulas;1E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
LSS-PL;Métodos e Técnicas de Investigação em Ciências Sociais;01191TP04;SS-PL-B2;20;FALSO;FALSO;Seg;16:30:00;18:00:00;28/11/2022;Sala/anfiteatro aulas;1E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
LE, LFC, LG, LGM, LGRH, LGIL;Contabilidade Financeira I;L0638PL17;GILA2;37;FALSO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Sala de Aulas normal;C5.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LE, LFC, LG, LGM, LGRH, LGIL;Contabilidade Financeira I;L0638PL17;GILA2;37;FALSO;FALSO;Sex;11:00:00;12:30:00;02/12/2022;Sala de Aulas normal;C5.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MG;Análise de Dados (2.º Ciclo);M3505TP04;MGA1;47;FALSO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala/anfiteatro aulas;;0;
MG;Análise de Dados (2.º Ciclo);M3505TP04;MGA1;47;FALSO;FALSO;Ter;14:30:00;16:00:00;29/11/2022;Sala/anfiteatro aulas;;0;
MG;Análise de Dados (2.º Ciclo);M3505TP04;MGA1;47;FALSO;FALSO;Ter;13:00:00;14:30:00;29/11/2022;Sala/anfiteatro aulas;;0;
MG;Análise de Dados (2.º Ciclo);M3505TP04;MGA1;47;FALSO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Sala/anfiteatro aulas;;0;
MCD;Reconhecimento de Padrões;03676TP02;MCDA1;37;FALSO;VERDADEIRO;Qua;19:30:00;21:00:00;30/11/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
MCD;Reconhecimento de Padrões;03676TP02;MCDA1;37;FALSO;VERDADEIRO;Qua;18:00:00;19:30:00;30/11/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
DGest;Investigação Qualitativa;00379TP01;Turma B, Turma A;20;VERDADEIRO;FALSO;Qua;09:30:00;12:30:00;30/11/2022;Sala Aulas Mestrado;AA2.26;30;Sala/anfiteatro aulas, Horário sala visível portal público
DGest;Investigação Qualitativa;00379TP01;Turma B, Turma A;20;VERDADEIRO;FALSO;Ter;09:30:00;12:30:00;29/11/2022;Sala Aulas Mestrado;AA2.26;30;Sala/anfiteatro aulas, Horário sala visível portal público
LFC, LG, LGM, LGIL;Gestão do Marketing;L1805PL10;GA5;41;FALSO;FALSO;Ter;13:00:00;14:30:00;29/11/2022;Sala de Aulas normal;C4.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LIGE, LIGE-PL;Gestão de Projectos de Tecnologia e Sistemas de Informação;L5249T01;IGE-D2, IGE-D1;88;VERDADEIRO;VERDADEIRO;Seg;09:30:00;11:00:00;28/11/2022;Sala de Aulas normal;C5.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MA;Teoria Antropológica: Explicação e Interpretação;04033TP01;MA-A1;33;VERDADEIRO;VERDADEIRO;Qua;20:00:00;22:00:00;30/11/2022;Sala Aulas Mestrado;AA2.24;30;Sala/anfiteatro aulas, Horário sala visível portal público
CIIBS;Comunicação em Educação;01673TP01;CI-IBS-1;21;VERDADEIRO;FALSO;Sex;18:00:00;20:00:00;02/12/2022;Sala de Aulas normal;1E02;50;Sala/anfiteatro aulas, Horário sala visível portal público
